continent,location,date,population,new_vaccinations,TotalVaccinated,Vaccine_percentage
Asia,Afghanistan,2021-07-03,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-04,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-05,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-06,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-07,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-08,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-09,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-10,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-11,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-12,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-13,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-14,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-15,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-16,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-17,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-18,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-19,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-20,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-21,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-22,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-23,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-24,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-25,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-26,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-27,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-28,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-29,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-30,40099462,,6874,0.017142374628367832
Asia,Afghanistan,2021-07-31,40099462,,6874,0.017142374628367832
